FAAT|12.5|12.84|-0.34|-0.0272|200409367
FBB|256.21|264.8|-8.59|-0.0335|36328215586
FBG|33.48|38.6|-5.12|-0.1529|16793003
FBH|24.14|22.12|2.02|0.0837|7018692340
FBIW|12.55|12.61|-0.06|-0.0048|26114352
FBN|21.28|20.27|1.01|0.0475|130401203
FBO|216.28|215.5|0.78|0.0036|36811155
FBT|12.42|13.35|-0.93|-0.0749|425040080
FBV|27.99|28.03|-0.04|-0.0014|112225467
FCB|6.84|7.05|-0.21|-0.0307|3275565
FCG|28.68|26.3|2.38|0.083|3851158303
FCLI|14.84|15.31|-0.47|-0.0317|1430476549
FCQ|8.4|8.07|0.33|0.0393|1310399832
FCW|12.12|11.68|0.44|0.0363|646880924
FCZ|13.36|11.68|1.68|0.1257|139324680
FD|59.95|54.42|5.53|0.0922|54462216
FDS|33.84|32.89|0.95|0.0281|26037895
FDUY|2.68|2.28|0.4|0.1493|1987798
FEB|30.87|24.43|6.44|0.2086|50023399700
FEG|8.09|8.05|0.04|0.0049|857528998
FFE|24.89|23.41|1.48|0.0595|3694799313
FFI|19.72|20.06|-0.34|-0.0172|108254943
FFIN|9.71|10.17|-0.46|-0.0474|82505058
FFJV|14.16|19|-4.84|-0.3418|3111718932
FFPM|46.76|43.59|3.17|0.0678|288598864
FFS|39.98|39.07|0.91|0.0228|7701702912
FFWF|23.2|24.96|-1.76|-0.0759|1626549518
FFZ|12.66|10.16|2.5|0.1975|751011547
FGA|19.2|7.31|11.89|0.6193|254689686
FGB|9.22|9.27|-0.05|-0.0054|20604151
FGE|3.68|4.8|-1.12|-0.3043|29726454
FGH|31.45|55.91|-24.46|-0.7777|8190595948
FGR|21.75|22.13|-0.38|-0.0175|3531665347
FGV|27.51|21.75|5.76|0.2094|9289585
FHA|68.48|68.64|-0.16|-0.0023|95155555
FHHF|7.14|7.14|0|0|222696597
FHI|17.71|17.13|0.58|0.0327|509672587
FHR|45.97|47.56|-1.59|-0.0346|352921960
FHS|29.4|30.27|-0.87|-0.0296|353357545
FHZI|60|44.95|15.05|0.2508|33213946
FII|18.39|17.33|1.06|0.0576|145943025
FJF|119.33|125.15|-5.82|-0.0488|6698993948
FJZX|16.05|16.6|-0.55|-0.0343|36214679
FKE|15.69|16.72|-1.03|-0.0656|2265629535
FKLS|11.21|11.45|-0.24|-0.0214|42820842
FKP|29.7|26.91|2.79|0.0939|1336424627
FKR|3.99|4.5|-0.51|-0.1278|239543140
FLC|55.87|56.94|-1.07|-0.0192|268600643
FLH|12.35|12.39|-0.04|-0.0032|232008969
FLK|6.22|7.23|-1.01|-0.1624|252422023
FLMP|11.86|11.84|0.02|0.0017|185002713
FLN|28.79|22.49|6.3|0.2188|91089867
FMBX|14.39|13.15|1.24|0.0862|607566402
FMJ|42.08|39.78|2.3|0.0547|748712311
FMK|27.93|28.92|-0.99|-0.0354|413787601
FML|17.82|19.05|-1.23|-0.069|11832859709
FMTE|17.42|17.17|0.25|0.0144|6500463
FMV|53.65|51.43|2.22|0.0414|390826984
FMY|3.89|3.47|0.42|0.108|24583408669
FNC|21.47|19.4|2.07|0.0964|97276533699
FNDH|8.06|8.06|0|0|21964361
FNF|168.57|178.03|-9.46|-0.0561|112291582
FNM|19.22|18.52|0.7|0.0364|4466326153
FNMN|24.63|24.56|0.07|0.0028|109546351
FNQ|5.72|5.65|0.07|0.0122|327307433
FOC|20.84|20.6|0.24|0.0115|1831466
FOJ|8.16|9.4|-1.24|-0.152|9085018570
FOM|15.5|17.66|-2.16|-0.1394|510220138
FPC|87.07|90.35|-3.28|-0.0377|40050953007
FPCZ|24.58|23.53|1.05|0.0427|548816929
FPF|7.33|6.51|0.82|0.1119|18057817
FPT|30.83|32.56|-1.73|-0.0561|67310432
FQG|14.32|13.64|0.68|0.0475|987466410
FRB|26.32|30.62|-4.3|-0.1634|81316285
FRE|105.42|99.98|5.44|0.0516|25018111996
FRH|10.95|10.58|0.37|0.0338|1280001335
FRL|25.6|26.92|-1.32|-0.0516|203169046
FRR|11.45|13.89|-2.44|-0.2131|1616668905
FRVP|100.77|97.71|3.06|0.0304|10195256
FSAN|21.37|18.43|2.94|0.1376|3866225
FSO|19.04|18.25|0.79|0.0415|139421236
FSQ|72.67|69.9|2.77|0.0381|86494917
FTBB|12.29|12.32|-0.03|-0.0024|861935
FTDL|16.9|16.97|-0.07|-0.0041|223072418
FTE|228.56|217.01|11.55|0.0505|2352777512
FTG|33|28.22|4.78|0.1448|24837742
FTK|9.98|10.32|-0.34|-0.0341|3329349599
FTN|97.64|103.51|-5.87|-0.0601|17886467628
FTU|10.93|13.37|-2.44|-0.2232|7492298975
FUF|6.04|5.52|0.52|0.0861|1517692991
FUH|28.4|25.96|2.44|0.0859|54739859
FUQW|22.93|21.7|1.23|0.0536|6581461536
FUZ|5.36|5.5|-0.14|-0.0261|4747457120
FVC|216.63|212.57|4.06|0.0187|256926846
FVG|17.81|17.06|0.75|0.0421|162313225
FVH|32.65|42.1|-9.45|-0.2894|461477538
FVK|49.65|48.87|0.78|0.0157|129383526
FVO|19.31|18.33|0.98|0.0508|1055939688
FVY|365.12|358.69|6.43|0.0176|561350364
FWJ|28.41|26.27|2.14|0.0753|10311994
FWO|51.63|51.95|-0.32|-0.0062|21995979941
FWS|20.08|18.06|2.02|0.1006|87752334
FWZ|11.84|12.61|-0.77|-0.065|1305690636
FXD|5.25|5.55|-0.3|-0.0571|693785456
FXDI|17.46|16.82|0.64|0.0367|2603250029
FXI|69.76|70.43|-0.67|-0.0096|1412609674
FXV|54.17|59.66|-5.49|-0.1013|215203583
FXW|42.59|42.34|0.25|0.0059|206525160
FXZ|23.28|24.36|-1.08|-0.0464|34345324
FYB|10.27|10.36|-0.09|-0.0088|14865795987
FYE|81.77|77.78|3.99|0.0488|1926634
FYM|34.8|35.52|-0.72|-0.0207|11573390
FYNS|8.18|8.12|0.06|0.0073|6273814566
FYP|42.62|41.76|0.86|0.0202|37489051
FYX|5.59|5.28|0.31|0.0555|1523727716
FZB|39.89|36.99|2.9|0.0727|282792546
FZBB|65.34|62.61|2.73|0.0418|66854365
FZI|103.4|118|-14.6|-0.1412|671360345
FZL|31.77|30.05|1.72|0.0541|495805708
FZN|19.77|20.32|-0.55|-0.0278|2099075973
FZRQ|11.03|11.93|-0.9|-0.0816|297275243
FZU|13.52|10.36|3.16|0.2337|770490460
