AAF|5.53|5.2|0.33|0.0597|283924051
AAR|2.16|2.25|-0.09|-0.0417|7180097
ABJ|45.99|47.94|-1.95|-0.0424|57167862
ABK|37.99|38.21|-0.22|-0.0058|1713143
ABKV|24.77|21.99|2.78|0.1122|1325081594
ACJ|15.06|14.77|0.29|0.0193|2007080
ADB|25.46|24.6|0.86|0.0338|8956020
AEV|32.32|33.21|-0.89|-0.0275|47488
AEY|1.45|1.49|-0.04|-0.0276|4298758
AGF|54.7|54.32|0.38|0.0069|505213611
AHAO|10.7|11.07|-0.37|-0.0346|1160273140
AIQ|11.8|11.69|0.11|0.0093|1230859
AIQK|26.09|26.3|-0.21|-0.008|66485266
AJJ|111.71|111.71|0|0|134670
AJL|14.16|13.96|0.2|0.0141|162249647
AJR|16.18|16.06|0.12|0.0074|53697777
AJS|17.94|18.16|-0.22|-0.0123|289650220
AKKV|7.98|7.87|0.11|0.0138|108536855
AKUC|41.5|39.55|1.95|0.047|320975640
ANO|47.55|47.1|0.45|0.0095|234024374
ANQ|8.33|8.26|0.07|0.0084|160411134
ANVE|34.74|36.23|-1.49|-0.0429|255254835
AORS|7.35|7.28|0.07|0.0095|246196717
APM|83.09|82.88|0.21|0.0025|43103336
AQA|2.95|2.8|0.15|0.0508|20844579
AQYW|5.29|4.93|0.36|0.0681|11741911
AREZ|83.79|86.23|-2.44|-0.0291|27394397
ASC|19.76|20.11|-0.35|-0.0177|110759527
ASX|52.42|50.91|1.51|0.0288|150909454
ATH|100.47|109.42|-8.95|-0.0891|563145192
AUE|21.24|21.14|0.1|0.0047|3024212191
AUJD|5.82|5.76|0.06|0.0103|141060743
AVK|14.09|13.69|0.4|0.0284|3607772736
AWB|15.1|14.84|0.26|0.0172|184783875
AWW|19.31|19.1|0.21|0.0109|517164914
AXD|15.01|15.24|-0.23|-0.0153|7727343
AXO|33.72|33.57|0.15|0.0044|351884315
AXOS|34.25|34.05|0.2|0.0058|166738724
AXU|31.68|32.64|-0.96|-0.0303|3775067133
AYJ|8.73|8.09|0.64|0.0733|26555858
AYLM|7.93|7.99|-0.06|-0.0076|13460178
AYX|33.07|33.8|-0.73|-0.0221|14530339
AYZ|65.57|65.36|0.21|0.0032|6456657
AZI|47.71|47.32|0.39|0.0082|166629896
AZP|32.63|32.71|-0.08|-0.0025|9251040
AZTM|28.38|27.54|0.84|0.0296|68631773
BBD|5.9|5.89|0.01|0.0017|4351404
BBN|32.19|29.12|3.07|0.0954|169852165
BCA|3.21|3.2|0.01|0.0031|692353519
BCY|41.7|41.58|0.12|0.0029|339760977
BDNG|43.35|42.66|0.69|0.0159|760428
BEK|5.76|6.54|-0.78|-0.1354|11807210402
BFA|4.2|3.57|0.63|0.15|2743090
BFR|21.05|20.48|0.57|0.0271|5783347504
BGC|114.14|103.71|10.43|0.0914|5074522
BGI|3.55|3.46|0.09|0.0254|190712816
BGN|15.64|15.65|-0.01|-0.0006|190737603
BGO|9.66|9.56|0.1|0.0104|11457797
BHH|3.44|3.56|-0.12|-0.0349|172050163
BHK|57.15|55.6|1.55|0.0271|74276921
BIA|92.43|92.84|-0.41|-0.0044|412053166
BIE|3.13|3.22|-0.09|-0.0288|186142560
BIQ|66.34|66.7|-0.36|-0.0054|87923785
BJB|7.56|8.02|-0.46|-0.0608|5488149
BJN|12.86|12.57|0.29|0.0226|2322520
BJQ|42.1|42.09|0.01|0.0002|1014724
BJX|17.6|17.95|-0.35|-0.0199|2365210
BKE|25.39|26.03|-0.64|-0.0252|371081291
BKI|15.36|15.12|0.24|0.0156|584565911
BLAF|6.43|6.26|0.17|0.0264|43428280
BLC|22.31|26.09|-3.78|-0.1694|257615851
BML|20.68|20.49|0.19|0.0092|9181639
BMZ|260.37|253.86|6.51|0.025|2553255112
BNI|54.79|53.88|0.91|0.0166|251204
BQG|13.47|13.61|-0.14|-0.0104|496353775
BQL|108.48|103.26|5.22|0.0481|539848117
BQU|79.24|80.09|-0.85|-0.0107|1825599
BRH|27.21|25.66|1.55|0.057|240149921
BRI|3.65|3.25|0.4|0.1096|53018835
BSR|5.06|5.02|0.04|0.0079|59008385
BTK|7.54|6.89|0.65|0.0862|98832185
BUP|12.46|13.72|-1.26|-0.1011|2814364866
BVA|5.79|6.13|-0.34|-0.0587|83309170
BVN|251.4|247.79|3.61|0.0144|497239444
BVW|51.44|54.3|-2.86|-0.0556|161885356
BVY|8.53|9.05|-0.52|-0.061|217736153
BWW|11.03|11.39|-0.36|-0.0326|381822110
BXMT|34.79|35.31|-0.52|-0.0149|44982723
BYAG|13.57|13.42|0.15|0.0111|421314453
BYK|16.52|15.42|1.1|0.0666|7037955
BYW|44.75|41.75|3|0.067|5018497
BZA|2.78|2.77|0.01|0.0036|1029751
BZG|15.09|15.14|-0.05|-0.0033|1054416391
BZJ|19.92|22.67|-2.75|-0.1381|151307454
BZO|88.38|83.17|5.21|0.0589|75943694
BZR|12.5|12.79|-0.29|-0.0232|4812770599
BZXX|13.4|13.18|0.22|0.0164|79055561
BZY|10.7|10.65|0.05|0.0047|1039863910
CAZ|4.7|4.65|0.05|0.0106|3516373517
CBH|56.74|57.89|-1.15|-0.0203|827106288
CBS|5.68|5.41|0.27|0.0475|1243828644
CBU|3.81|3.71|0.1|0.0262|36451017
CBZ|24.18|22.08|2.1|0.0868|128295545
CCC|16.42|16.94|-0.52|-0.0317|5723271
CCQ|6.04|6.11|-0.07|-0.0116|4069804
CDFC|100.83|100.88|-0.05|-0.0005|83891555
CDWM|71.17|63.04|8.13|0.1142|269449745
CDX|46.32|45.53|0.79|0.0171|16922827436
CDZ|10.07|9.74|0.33|0.0328|11777108
CEA|44.4|43.68|0.72|0.0162|900783
CEJ|76.42|77.71|-1.29|-0.0169|54060447
CEM|31.03|30.78|0.25|0.0081|26683849
CEUX|35.67|34.77|0.9|0.0252|21195094
CHC|14.01|13.21|0.8|0.0571|27440248
CHKI|512.52|521.93|-9.41|-0.0184|79405261
CIQ|15.52|16.04|-0.52|-0.0335|9216708
CIU|3.64|3.57|0.07|0.0192|1406731564
CJ|14.93|15.15|-0.22|-0.0147|9261557
CJOH|7.33|7.78|-0.45|-0.0614|2358320
